municipios,territorio,regiao_cli,latitude,longitude,acq_date,acq_time,daynight,satellite,frp,NOME_UC,GRUPO,Dominio
Barra,VELHO CHICO,São Francisco,-10.6119,-43.28182,2021-09-26,16:18,D,NOAA,7.84,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.61243,-43.28546,2021-09-26,16:18,D,NOAA,3.47,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.50083,-43.31004,2021-09-26,16:18,D,NOAA,15.84,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.49905,-43.32149,2021-09-26,16:18,D,NOAA,28.65,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.37861,-43.23947,2021-09-26,16:18,D,NOAA,5.76,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.37914,-43.24309,2021-09-26,16:18,D,NOAA,5.76,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.37758,-43.24371,2021-09-26,16:18,D,NOAA,5.75,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Barra,VELHO CHICO,São Francisco,-10.61474,-43.27768,2021-09-26,16:18,D,NOAA,26.22,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Pilão Arcado,SERTÃO DO SÃO FRANCISCO,São Francisco,-10.17485,-42.59253,2021-09-26,16:18,D,NOAA,2.94,APA das Dunas e Veredas do Baixo-Médio São Francisco,Uso Sustentável,Estadual
Cocos,BACIA DO RIO CORRENTE,Oeste,-14.05985,-44.96222,2021-09-26,16:18,D,NOAA,6.86,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Cocos,BACIA DO RIO CORRENTE,Oeste,-14.05546,-44.95814,2021-09-26,16:18,D,NOAA,6.86,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-14.23599,-45.81128,2021-09-26,03:45,N,NOAA,0.65,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-14.2354,-45.81425,2021-09-26,03:45,N,NOAA,0.65,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-14.23097,-45.81014,2021-09-26,03:45,N,NOAA,0.65,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-13.9662,-45.2655,2021-09-26,16:18,D,NOAA,30.91,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-13.96111,-45.25664,2021-09-26,16:18,D,NOAA,25.87,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-13.95731,-45.25726,2021-09-26,16:18,D,NOAA,25.87,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-13.95795,-45.262,2021-09-26,16:18,D,NOAA,25.87,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
Jaborandi,BACIA DO RIO CORRENTE,Oeste,-13.95924,-45.27156,2021-09-26,16:18,D,NOAA,14.63,RVS das Veredas do Oeste Baiano,Proteção Integral,Federal
